Taxon,Temperature (°C),Body mass (mg),Body mass type,Growth,Specific growth,Growth (15°C),Specific growth (15°C),Reference key
Sinocalanus tenellus,6.6,0.001134,carbon mass,4.77225E-06,0.004208333,1.13328E-05,0.009993621,Kiørboe2014
Sinocalanus tenellus,10,0.001134,carbon mass,9.40275E-06,0.008291667,1.57338E-05,0.013874612,Kiørboe2014
Sinocalanus tenellus,15,0.001134,carbon mass,1.90418E-05,0.016791667,1.90418E-05,0.016791667,Kiørboe2014
Sinocalanus tenellus,20,0.001134,carbon mass,0.00003213,0.028333333,1.92013E-05,0.016932405,Kiørboe2014
Sinocalanus tenellus,22,0.001134,carbon mass,3.83198E-05,0.033791667,1.86385E-05,0.016436108,Kiørboe2014
Sinocalanus tenellus,28,0.001134,carbon mass,0.000060291,0.053166667,1.58106E-05,0.013942286,Kiørboe2014
Temora longicornis,15,0.000179,carbon mass,1.91679E-06,0.010708333,1.91679E-06,0.010708333,Kiørboe2014
Temora longicornis,15,0.001678,carbon mass,2.36318E-05,0.014083333,2.36318E-05,0.014083333,Kiørboe2014
Temora longicornis,12.5,0.00013,carbon mass,1.1375E-06,0.00875,1.47143E-06,0.011318726,Kiørboe2014
Temora longicornis,12.5,0.0018,carbon mass,0.0000255,0.014166667,3.2986E-05,0.018325557,Kiørboe2014
Temora longicornis,12.5,0.008,carbon mass,0.000103333,0.012916667,0.000133669,0.016708596,Kiørboe2014
